2015-10-28 21:16:07,769 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-28 21:16:07,792 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-28 21:16:07,813 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\GitHub\API-Carros\API-Maven\Carros\src\test\resources
2015-10-28 21:16:07,813 [Worker-0] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of Carros
2015-10-28 21:16:07,813 [Worker-0] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for Carros
2015-10-28 21:16:07,828 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-28 21:18:32,093 [Worker-12] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: br.com.livro:carros:0.0.1-SNAPSHOT @ C:\GitHub\API-Carros\API-Maven\Carros\pom.xml.
2015-10-28 21:18:34,314 [Worker-12] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/javax/servlet/jvax.servlet-api/3.0.1/jvax.servlet-api-3.0.1.pom
2015-10-28 21:18:34,321 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for javax.servlet:jvax.servlet-api:jar:3.0.1 is missing, no dependency information available
2015-10-28 21:18:35,071 [Worker-12] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/javax/servlet/jvax.servlet-api/3.0.1/jvax.servlet-api-3.0.1.jar
2015-10-28 21:18:35,124 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for javax.servlet:jvax.servlet-api:jar:3.0.1 is missing, no dependency information available
2015-10-28 21:18:35,751 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-28 21:18:35,758 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-28 21:18:35,761 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-28 21:18:35,768 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\GitHub\API-Carros\API-Maven\Carros\src\test\resources
2015-10-28 21:18:35,768 [Worker-12] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of Carros
2015-10-28 21:18:35,771 [Worker-12] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for Carros
2015-10-28 21:18:35,775 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-28 21:18:36,879 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for javax.servlet:jvax.servlet-api:jar:3.0.1 is missing, no dependency information available
2015-10-28 21:18:36,894 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-28 21:18:36,898 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-28 21:18:36,899 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-28 21:18:36,907 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\GitHub\API-Carros\API-Maven\Carros\src\test\resources
2015-10-28 21:19:56,852 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: br.com.livro:carros:0.0.1-SNAPSHOT @ C:\GitHub\API-Carros\API-Maven\Carros\pom.xml.
2015-10-28 21:19:57,656 [Worker-0] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/javax/servlet/javax.servlet-api/3.0.1/javax.servlet-api-3.0.1.pom
